,id,name,subsystem,reaction,GPR
330,EX_tre_e,Trehalose exchange,Extracellular exchange,tre[e] <=> ,
331,EX_trp__L_e,L-Tryptophan exchange,Extracellular exchange,trp__L[e] <=> ,
332,EX_tsul_e,Thiosulfate exchange,Extracellular exchange,tsul[e] <=> ,
333,EX_ttdca_e,Tetradecanoate (n-C14:0) exchange,Extracellular exchange,ttdca[e] <=> ,
334,EX_tyr__L_e,L-Tyrosine exchange,Extracellular exchange,tyr__L[e] <=> ,
335,EX_val__L_e,L-Valine exchange,Extracellular exchange,val__L[e] <=> ,
336,EX_ac_e,Acetate exchange,Extracellular exchange,ac[e] <=> ,
337,EX_4abz_e,4 Aminobenzoate exchange,Extracellular exchange,4abz[e] <=> ,
338,EX_for_e,Formate exchange,Extracellular exchange,for[e] <=> ,
339,EX_akg_e,2-Oxoglutarate exchange,Extracellular exchange,akg[e] <=> ,
340,EX_gua_e,Guanine exchange,Extracellular exchange,gua[e] <=> ,
341,EX_ad_e,EX ad LPAREN e RPAREN ,Extracellular exchange,ad[e] <=> ,
342,EX_urea_e,Urea exchange,Extracellular exchange,urea[e] <=> ,
343,EX_ni2_e,Ni2+ exchange,Extracellular exchange,ni2[e] <=> ,
344,EX_mn2_e,Mn2+ exchange,Extracellular exchange,mn2[e] <=> ,
345,EX_chsterol_e,Cholesterol exchange,Extracellular exchange,chsterol[e] <=> ,
346,EX_4hba_e,4-Hydroxy-benzyl alcohol exchange,Extracellular exchange,4hba[e] <=> ,
347,EX_pydxn_e,Pyridoxine exchange,Extracellular exchange,pydxn[e] <=> ,
348,EX_glyclt_e,Glycolate exchange,Extracellular exchange,glyclt[e] <=> ,
349,EX_co_e,EX co LPAREN e RPAREN ,Extracellular exchange,co[e] <=> ,
350,EX_pheme_e,Protoheme exchange,Extracellular exchange,pheme[e] <=> ,
351,EX_hia_e,R_EX_hia_e,Extracellular exchange,hia[e] <=> ,
352,EX_acald_e,Acetaldehyde exchange,Extracellular exchange,acald[e] <=> ,
353,EX_ocdcea_e,Octadecenoate (n-C18:1) exchange,Extracellular exchange,ocdcea[e] <=> ,
354,EX_gln__L_e,L-Glutamine exchange,Extracellular exchange,gln__L[e] <=> ,
355,EX_etoh_e,Ethanol exchange,Extracellular exchange,etoh[e] <=> ,
356,EX_adocbl_e,Adenosylcobalamin exchange,Extracellular exchange,adocbl[e] <=> ,
357,EX_mobd_e,Molybdate exchange,Extracellular exchange,mobd[e] <=> ,
358,EX_btn_e,Biotin exchange,Extracellular exchange,btn[e] <=> ,
359,EX_nodcoa_e,Nodcoa exchange,Extracellular exchange,nodcoa[e] <=> ,
360,EX_octscoa_e,Octscoa exchange,Extracellular exchange,octscoa[e] <=> ,
361,EX_pc_TB_e,R_EX_pc_TB_e,Extracellular exchange,pc_TB[e] <=> ,
362,TAG,MNXR87026,Fatty acid biosynthesis,10.0 12dgr_TB[c] + arachcoa[c] + hexccoa[c] + nodcoa[c] + pentdcoa[c] + 2.0 pmtcoa[c] + 3.0 stcoa[c] --> 10.0 coa[c] + 10.0 tag_TB[c],Rv3130c or Rv3734c or Rv3234c or Rv3088 or Rv0221 or Rv0895 or Rv1425 or Rv1760 or Rv2285 or Rv2484c or Rv3087 or Rv3233c or Rv3371 or Rv3480c or Rv3740c
363,2AGPEAT160,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0),Fatty Acid Metabolism,2agpe160[c] + atp[c] + hdca[c] --> amp[c] + pe160[c] + ppi[c],
364,2AGPEAT180,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0),Fatty Acid Metabolism,2agpe180[c] + atp[c] + ocdca[c] --> amp[c] + pe180[c] + ppi[c],
365,AACPS10,AACPS10,Fatty Acid Metabolism,ACP[c] + atp[c] + mocdca[c] --> amp[c] + mstrACP[c] + ppi[c],
366,AACPS3,Acyl-[acyl-carrier-protein] synthetase  (n-C16:0),Fatty Acid Metabolism,ACP[c] + atp[c] + hdca[c] --> amp[c] + palmACP[c] + ppi[c],
367,ACCC,Acyl-CoA Carboxylase,Fatty Acid Metabolism,co2[c] + hexccoa[c] --> chexccoa[c] + h2o[c],Rv3280 and Rv3799c and Rv3285
368,ACChex_1,ACChex,Fatty Acid Metabolism,coa[c] + 2.0 h[c] + hexc[c] --> h2o[c] + hexccoa[c],Rv3280
369,DESAT16,Palmitoyl CoA desaturase  n C160CoA   n C161CoA ,Fatty Acid Metabolism,h[c] + nadph[c] + o2[c] + pmtcoa[c] --> 2.0 h2o[c] + hdcoa[c] + nadp[c],Rv3229c
370,DESAT18_1,Stearoyl CoA desaturase  n C180CoA   n C181CoA ,Fatty Acid Metabolism,h2o[c] + nadph[c] + stcoa[c] --> 4.0 h[c] + nadp[c] + odecoa[c],Rv1094 and Rv0824c and Rv3229c
371,FACOAE140_1,Fatty-acid-CoA thioesterase (tetradecanoate),Fatty Acid Metabolism,2.0 h[c] + tdcoa[c] --> coa[c] + 2.0 h2o[c] + ttdca[c],Rv2605c or Rv0098 or Rv1618
372,FACOAE160,Fatty-acid-CoA thioesterase (hexadecanoate),Fatty Acid Metabolism,h2o[c] + pmtcoa[c] --> coa[c] + h[c] + hdca[c],Rv0098 or Rv2605c or Rv1618
373,FACOAE180,Fatty-acid-CoA thioesterase (octadecanoate),Fatty Acid Metabolism,h2o[c] + stcoa[c] --> coa[c] + h[c] + ocdca[c],Rv0098 or Rv2605c or Rv1618
374,FACOAL140_1,Fatty-acid--CoA ligase (tetradecanoate),Fatty Acid Metabolism,atp[c] + coa[c] + 3.0 h2o[c] + ttdca[c] <=> amp[c] + 3.0 h[c] + ppi[c] + tdcoa[c],Rv3801c or Rv3515c or Rv3506 or Rv2950c or Rv2941 or Rv2590 or Rv2187 or Rv1750c or Rv1549 or Rv1521 or Rv1206 or Rv1185c or Rv0852 or Rv0404 or Rv0214 or Rv0119 or Rv0035 or Rv0099 or Rv0166 or Rv0270 or Rv0551c or Rv1058 or Rv1193 or Rv1427c or Rv1529 or Rv1550 or Rv1925 or Rv2505c or Rv2930 or Rv2948c or Rv3089 or Rv3513c or Rv3561 or Rv3826
375,FACOAL160,Fatty acid  CoA ligase  hexadecanoate ,Fatty Acid Metabolism,atp[c] + coa[c] + hdca[c] <=> amp[c] + pmtcoa[c] + ppi[c],Rv3826 or Rv1529 or Rv1185c or Rv2590
376,FACOAL161,Fatty acid  CoA ligase  hexadecenoate ,Fatty Acid Metabolism,atp[c] + coa[c] + hdcea[c] <=> amp[c] + hdcoa[c] + ppi[c],Rv0035 or Rv0099 or Rv0119 or Rv0166 or Rv0214 or Rv0270 or Rv0404 or Rv0551c or Rv0852 or Rv1058 or Rv1185c or Rv1193 or Rv1206 or Rv1427c or Rv1521 or Rv1529 or Rv1549 or Rv1550 or Rv1750c or Rv1925 or Rv2187 or Rv2505c or Rv2590 or Rv2930 or Rv2941 or Rv2948c or Rv2950c or Rv3089 or Rv3506 or Rv3513c or Rv3515c or Rv3561 or Rv3801c or Rv3826
377,FACOAL180,Fatty acid  CoA ligase  octadecanoate ,Fatty Acid Metabolism,atp[c] + coa[c] + ocdca[c] <=> amp[c] + ppi[c] + stcoa[c],Rv0035 or Rv0099 or Rv0119 or Rv0166 or Rv0214 or Rv0270 or Rv0404 or Rv0551c or Rv0852 or Rv1058 or Rv1185c or Rv1193 or Rv1206 or Rv1427c or Rv1521 or Rv1529 or Rv1549 or Rv1550 or Rv1750c or Rv1925 or Rv2187 or Rv2505c or Rv2590 or Rv2930 or Rv2941 or Rv2948c or Rv2950c or Rv3089 or Rv3506 or Rv3513c or Rv3515c or Rv3561 or Rv3801c or Rv3826
378,FACOAL181_2,Fatty acid  CoA ligase  octadecenoate ,Fatty Acid Metabolism,atp[c] + coa[c] + h2o[c] + ocdcea[c] <=> amp[c] + h[c] + odecoa[c] + ppi[c],Rv3826 or Rv1618 or Rv1529
379,FACOAL80,Fatty-acid--CoA ligase (octanoate),Fatty Acid Metabolism,atp[c] + coa[c] + octa[c] <=> amp[c] + occoa[c] + ppi[c],Rv3826 or Rv1529 or Rv1185c or Rv2590 or Rv0099
380,FAO1,Fatty acid oxidation (tetradecanoate),Fatty Acid Metabolism,atp[c] + 7.0 coa[c] + 6.0 fad[c] + 6.0 h2o[c] + 6.0 nad[c] + ttdca[c] --> 7.0 accoa[c] + amp[c] + 6.0 fadh2[c] + 6.0 h[c] + 6.0 nadh[c] + ppi[c],Rv0468 and Rv0859 and Rv0860 and Rv1144 and Rv1323
381,FAO10,FAO10,Fatty Acid Metabolism,atp[c] + 9.0 coa[c] + 7.0 fad[c] + 8.0 h2o[c] + 8.0 nad[c] + ocdcea[c] --> 9.0 accoa[c] + amp[c] + 7.0 fadh2[c] + 8.0 h[c] + 8.0 nadh[c] + ppi[c],Rv0468 and Rv0859 and Rv0860 and Rv1144 and Rv1323
382,FAO11,FAO11,Fatty Acid Metabolism,atp[c] + 8.0 coa[c] + 6.0 fad[c] + 7.0 h2o[c] + hdcea[c] + 7.0 nad[c] --> 8.0 accoa[c] + amp[c] + 6.0 fadh2[c] + 7.0 h[c] + 7.0 nadh[c] + ppi[c],Rv0468 and Rv0859 and Rv0860 and Rv1144 and Rv1323
383,FAO2,Fatty acid oxidation (n-C16:0),Fatty Acid Metabolism,atp[c] + 8.0 coa[c] + 7.0 fad[c] + 7.0 h2o[c] + hdca[c] + 7.0 nad[c] --> 8.0 accoa[c] + amp[c] + 7.0 fadh2[c] + 7.0 h[c] + 7.0 nadh[c] + ppi[c],Rv0468 and Rv0859 and Rv0860 and Rv1144 and Rv1323
384,FAO3,Fatty acid oxidation (octadecanoate),Fatty Acid Metabolism,atp[c] + 9.0 coa[c] + 8.0 fad[c] + 8.0 h2o[c] + 8.0 nad[c] + ocdca[c] --> 9.0 accoa[c] + amp[c] + 8.0 fadh2[c] + 8.0 h[c] + 8.0 nadh[c] + ppi[c],Rv0468 and Rv0859 and Rv0860 and Rv1144 and Rv1323
385,FAS100,Fatty acid synthase  n C100 ,Fatty Acid Metabolism,3.0 h[c] + malcoa[c] + 2.0 nadph[c] + octa[c] --> co2[c] + coa[c] + dca[c] + h2o[c] + 2.0 nadp[c],Rv1350 and Rv2524c and Rv1484 and Rv2947c
386,FAS120,Fatty acid synthase  n C120 ,Fatty Acid Metabolism,dca[c] + 3.0 h[c] + malcoa[c] + 2.0 nadph[c] --> co2[c] + coa[c] + ddca[c] + h2o[c] + 2.0 nadp[c],Rv1350 and Rv2524c and Rv1484 and Rv2947c
387,FAS140,Fatty acid synthase  n C140 ,Fatty Acid Metabolism,ddca[c] + 3.0 h[c] + malcoa[c] + 2.0 nadph[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + ttdca[c],Rv0533c or (Rv1350 and Rv2524c and Rv1484 and Rv2947c)
388,FAS160,Fatty acid synthase  n C160 ,Fatty Acid Metabolism,3.0 h[c] + malcoa[c] + 2.0 nadph[c] + ttdca[c] --> co2[c] + coa[c] + h2o[c] + hdca[c] + 2.0 nadp[c],Rv1350 and Rv2524c and Rv1484 and Rv2947c
389,FAS161,Fatty acid synthase  n C161 ,Fatty Acid Metabolism,4.0 h[c] + malcoa[c] + 3.0 nadph[c] + o2[c] + ttdca[c] --> co2[c] + coa[c] + 3.0 h2o[c] + hdcea[c] + 3.0 nadp[c],Rv1350 and Rv2524c and Rv1484 and Rv2947c
390,FAS180,Fatty acid synthase  n C180 ,Fatty Acid Metabolism,3.0 h[c] + hdca[c] + malcoa[c] + 2.0 nadph[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + ocdca[c],Rv1350 and Rv2524c and Rv1484 and Rv2947c
391,FAS181,Fatty acid synthase  n C181 ,Fatty Acid Metabolism,4.0 h[c] + hdca[c] + malcoa[c] + 3.0 nadph[c] + o2[c] --> co2[c] + coa[c] + 3.0 h2o[c] + 3.0 nadp[c] + ocdcea[c],Rv1350 and Rv2524c and Rv1484 and Rv2947c
392,FAS200,FAS200,Fatty Acid Metabolism,3.0 h[c] + malcoa[c] + 2.0 nadph[c] + ocdca[c] --> arach[c] + co2[c] + coa[c] + h2o[c] + 2.0 nadp[c],Rv1350 and Rv2524c and Rv1484 and Rv2947c
393,FAS240_L,Fatty acid synthase  n C240   lumped reaction,Fatty Acid Metabolism,9.0 h[c] + 3.0 malcoa[c] + 6.0 nadph[c] + ocdca[c] --> 3.0 co2[c] + 3.0 coa[c] + 3.0 h2o[c] + 6.0 nadp[c] + ttc[c],Rv1350 and Rv2524c and Rv1484 and Rv2947c
394,FAS260,Fatty acid synthase  n C260 ,Fatty Acid Metabolism,3.0 h[c] + malcoa[c] + 2.0 nadph[c] + ttc[c] --> co2[c] + coa[c] + h2o[c] + hexc[c] + 2.0 nadp[c],Rv1350 and Rv2524c and Rv1484 and Rv2947c
395,FAS80_L,Fatty acid synthase  n C80   lumped reaction,Fatty Acid Metabolism,accoa[c] + 8.0 h[c] + 3.0 malcoa[c] + 6.0 nadph[c] --> 3.0 co2[c] + 4.0 coa[c] + 2.0 h2o[c] + 6.0 nadp[c] + octa[c],Rv1350 and Rv2524c and Rv1484 and Rv2947c
396,FASm180,FASm180,Fatty Acid Metabolism,15.0 h[c] + 4.0 malcoa[c] + mmcoa__S[c] + 10.0 nadph[c] + octa[c] --> 5.0 co2[c] + 5.0 coa[c] + 5.0 h2o[c] + mocdca[c] + 10.0 nadp[c],Rv1663 or Rv1662
397,FASm2002,FASm2002,Fatty Acid Metabolism,3.0 h[c] + mmcoa__S[c] + 2.0 nadph[c] + ocdca[c] --> co2[c] + coa[c] + h2o[c] + marach[c] + 2.0 nadp[c],Rv1663 or Rv1662
398,FASm2202,FASm2202,Fatty Acid Metabolism,3.0 h[c] + marach[c] + mmcoa__S[c] + 2.0 nadph[c] --> co2[c] + coa[c] + dmbhn[c] + h2o[c] + 2.0 nadp[c],Rv2940c
399,FASm2402,FASm2402,Fatty Acid Metabolism,dmbhn[c] + 3.0 h[c] + mmcoa__S[c] + 2.0 nadph[c] --> co2[c] + coa[c] + h2o[c] + 2.0 nadp[c] + tmlgnc[c],Rv2940c
400,G16MTM1,"Glycolipid 1,6-alpha-D-mannosyltransferase",Fatty Acid Metabolism,gdpmann[c] + ptd1ino160190[c] --> PIM1[c] + gdp[c] + h[c],Rv2610c
401,G16MTM10,G16MTM10,Fatty Acid Metabolism,PIM5[c] + gdpmann[c] --> PIM6[c] + gdp[c] + h[c],Rv1500
402,G16MTM4,G16MTM4,Fatty Acid Metabolism,Ac1PIM2[c] + decdman1p_tb[c] --> Ac1PIM3[c] + decd_tb[c] + h[c],
403,G16MTM5,G16MTM5,Fatty Acid Metabolism,Ac1PIM3[c] + decdman1p_tb[c] --> Ac1PIM4[c] + decd_tb[c] + h[c],
404,G16MTM6,G16MTM6,Fatty Acid Metabolism,PIM1[c] + gdpmann[c] --> PIM2[c] + gdp[c] + h[c],Rv2188c
405,G16MTM7,G16MTM7,Fatty Acid Metabolism,PIM2[c] + gdpmann[c] --> PIM3[c] + gdp[c] + h[c],
406,G16MTM8,G16MTM8,Fatty Acid Metabolism,PIM3[c] + gdpmann[c] --> PIM4[c] + gdp[c] + h[c],
407,G16MTM9,G16MTM9,Fatty Acid Metabolism,PIM4[c] + gdpmann[c] --> PIM5[c] + gdp[c] + h[c],Rv1159
408,LPLIPAL2E160,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0)",Fatty Acid Metabolism,2agpe160[c] + h2o[c] --> g3pe[c] + h[c] + hdca[c],Rv0183
409,LPLIPAL2E180,"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:0)",Fatty Acid Metabolism,2agpe180[c] + h2o[c] --> g3pe[c] + h[c] + ocdca[c],Rv0183 or Rv0215c or Rv0752c or Rv0873 or Rv2789c or Rv3274c or (Rv3563 and Rv3564)
410,MANAT1,MANAT1,Fatty Acid Metabolism,PIM1[c] + pmtcoa[c] --> Ac1PIM1[c] + coa[c],Rv2611c
411,MANAT2,MANAT2,Fatty Acid Metabolism,PIM2[c] + pmtcoa[c] --> Ac1PIM2[c] + coa[c],Rv2611c
412,MANAT3,MANAT3,Fatty Acid Metabolism,Ac1PIM2[c] + pmtcoa[c] --> Ac2PIM2[c] + coa[c],
413,MCD,Malonyl-CoA Decarboxylase cytoplasmic,Fatty Acid Metabolism,h[c] + malcoa[c] --> accoa[c] + co2[c],Rv2247 and Rv3799c and Rv3280 and Rv3281 and Rv3285
414,MCOATA,Malonyl-CoA-ACP transacylase,Fatty Acid Metabolism,ACP[c] + malcoa[c] <=> coa[c] + malACP[c],Rv2243
415,MMCD,Methylmalonyl-CoA decarboxylase,Fatty Acid Metabolism,h[c] + mmcoa__S[c] --> co2[c] + ppcoa[c],Rv3799c
416,MME_1,Methylmalonyl-CoA epimerase,Fatty Acid Metabolism,mmcoa__R[c] <-- 0.001 aqcobal[c] + mmcoa__S[c],Rv1322A or Rv0855 or Rv1143
417,MMM2r,R_MMM2r,Fatty Acid Metabolism,0.001 aqcobal[c] + succoa[c] <-- mmcoa__R[c],Rv1492 and Rv1493
418,OCOAT1,3-oxoacid CoA-transferase (Succinyl-CoA: acetoacetate),Fatty Acid Metabolism,acac[c] + succoa[c] <=> aacoa[c] + succ[c],Rv2503c and Rv2504c
419,PAPA160,Phosphatidate phosphatase (n-C16:0),Fatty Acid Metabolism,h2o[c] + pa160[c] --> 12dgr160[c] + pi[c],Rv1755c
420,PATS,PATS,Fatty Acid Metabolism,5.0 h[c] + ocdca[c] + 4.0 tmlgnc[c] + tre[c] --> 5.0 h2o[c] + pat[c],
421,PHDCATA,PHDCATA,Fatty Acid Metabolism,ACP[c] + phdcacoa[c] <=> coa[c] + phdcaACP[c],
422,PLCD,PLCD,Fatty Acid Metabolism,h2o[c] + ptd1ino160[c] --> 12dgr160[c] + h[c] + mi1p__D[c],Rv1755c
423,PLIPA1E160,PLIPA1E160,Fatty Acid Metabolism,h2o[c] + pe160[c] --> 2agpe160[c] + h[c] + hdca[c],
424,PLIPA1E180,PLIPA1E180,Fatty Acid Metabolism,h2o[c] + pe180[c] --> 2agpe180[c] + h[c] + ocdca[c],
425,TDMS1,TDMS1,Fatty Acid Metabolism,2.0 h[c] + mmycolate[c] + mycolate[c] + tre[c] --> 2.0 h2o[c] + tdm1[c],
426,TDMS2,TDMS2,Fatty Acid Metabolism,2.0 h[c] + mmmycolate[c] + mycolate[c] + tre[c] --> 2.0 h2o[c] + tdm2[c],
427,TDMS3,TDMS3,Fatty Acid Metabolism,2.0 h[c] + mkmycolate[c] + mycolate[c] + tre[c] --> 2.0 h2o[c] + tdm3[c],
428,TDMS4,TDMS4,Fatty Acid Metabolism,2.0 h[c] + kmycolate[c] + mycolate[c] + tre[c] --> 2.0 h2o[c] + tdm4[c],
429,TMHAS1,TMHAS1,Fatty Acid Metabolism,tdm1[c] + tdm2[c] + tre[c] --> 2.0 h2o[c] + tmha1[c],
430,TMHAS2,TMHAS2,Fatty Acid Metabolism,tdm1[c] + tdm3[c] + tre[c] --> 2.0 h2o[c] + tmha2[c],
431,TMHAS3,TMHAS3,Fatty Acid Metabolism,tdm1[c] + tdm4[c] + tre[c] --> 2.0 h2o[c] + tmha3[c],
432,TMHAS4,TMHAS4,Fatty Acid Metabolism,tdm2[c] + tdm3[c] + tre[c] --> 2.0 h2o[c] + tmha4[c],
433,HDECH,R_HDECH,Fatty Acid Metabolism,1hdecg3p[c] + h2o[c] <=> glyc3p[c] + 3.0 h[c] + hdcea[c],
434,FAD_1,R_FAD_1,Fatty Acid Metabolism,coa[c] + fad[c] + nad[c] + octscoa[c] --> accoa[c] + fadh2[c] + hexscoa[c] + nadh[c],((Rv0131c or Rv0154c or Rv0215c or Rv0231 or Rv0244c or Rv0271c or Rv0400c or Rv0752c or Rv0873 or Rv0972c or Rv0975c or Rv1346 or Rv1467c or Rv1679 or Rv1933c or Rv1934c or Rv2724c or Rv2789c or Rv3061c or Rv3139 or Rv3140 or Rv3274c or Rv3504 or Rv3505 or Rv3543c or Rv3544c or Rv3560c or Rv3562 or Rv3563 or Rv3564 or Rv3573c or Rv3761c or Rv3797 or Rv0672 or Rv2500c) and (Rv0222 or Rv0456c or Rv0632c or Rv0673 or Rv0675 or Rv0971c or Rv1070c or Rv1071c or Rv1141c or Rv1142c or Rv1472 or Rv1935c or Rv2486 or Rv2679 or Rv2831 or Rv3039c or Rv3516 or Rv3550 or Rv3774 or Rv0905 or Rv3374 or Rv3373) and (Rv0468 or Rv1715 or Rv1912c or Rv3141) and (Rv0243 or Rv1074c or Rv3546 or Rv3556c or Rv1323 or Rv0859))
435,FAD_2,R_FAD_2,Fatty Acid Metabolism,coa[c] + fad[c] + hexscoa[c] + nad[c] --> accoa[c] + fadh2[c] + nadh[c] + tetscoa[c],((Rv0131c or Rv0154c or Rv0215c or Rv0231 or Rv0244c or Rv0271c or Rv0400c or Rv0752c or Rv0873 or Rv0972c or Rv0975c or Rv1346 or Rv1467c or Rv1679 or Rv1933c or Rv1934c or Rv2724c or Rv2789c or Rv3061c or Rv3139 or Rv3140 or Rv3274c or Rv3504 or Rv3505 or Rv3543c or Rv3544c or Rv3560c or Rv3562 or Rv3563 or Rv3564 or Rv3573c or Rv3761c or Rv3797 or Rv0672 or Rv2500c) and (Rv0222 or Rv0456c or Rv0632c or Rv0673 or Rv0675 or Rv0971c or Rv1070c or Rv1071c or Rv1141c or Rv1142c or Rv1472 or Rv1935c or Rv2486 or Rv2679 or Rv2831 or Rv3039c or Rv3516 or Rv3550 or Rv3774 or Rv0905 or Rv3374 or Rv3373) and (Rv0468 or Rv1715 or Rv1912c or Rv3141) and (Rv0243 or Rv1074c or Rv3546 or Rv3556c or Rv1323 or Rv0859))
436,FAD_3,R_FAD_3,Fatty Acid Metabolism,coa[c] + fad[c] + nad[c] + tetscoa[c] --> accoa[c] + doscoa[c] + fadh2[c] + nadh[c],((Rv0131c or Rv0154c or Rv0215c or Rv0231 or Rv0244c or Rv0271c or Rv0400c or Rv0752c or Rv0873 or Rv0972c or Rv0975c or Rv1346 or Rv1467c or Rv1679 or Rv1933c or Rv1934c or Rv2724c or Rv2789c or Rv3061c or Rv3139 or Rv3140 or Rv3274c or Rv3504 or Rv3505 or Rv3543c or Rv3544c or Rv3560c or Rv3562 or Rv3563 or Rv3564 or Rv3573c or Rv3761c or Rv3797 or Rv0672 or Rv2500c) and (Rv0222 or Rv0456c or Rv0632c or Rv0673 or Rv0675 or Rv0971c or Rv1070c or Rv1071c or Rv1141c or Rv1142c or Rv1472 or Rv1935c or Rv2486 or Rv2679 or Rv2831 or Rv3039c or Rv3516 or Rv3550 or Rv3774 or Rv0905 or Rv3374 or Rv3373) and (Rv0468 or Rv1715 or Rv1912c or Rv3141) and (Rv0243 or Rv1074c or Rv3546 or Rv3556c or Rv1323 or Rv0859))
437,FAD_4,R_FAD_4,Fatty Acid Metabolism,coa[c] + doscoa[c] + fad[c] + nad[c] --> accoa[c] + eiscoa[c] + fadh2[c] + nadh[c],((Rv0131c or Rv0154c or Rv0215c or Rv0231 or Rv0244c or Rv0271c or Rv0400c or Rv0752c or Rv0873 or Rv0972c or Rv0975c or Rv1346 or Rv1467c or Rv1679 or Rv1933c or Rv1934c or Rv2724c or Rv2789c or Rv3061c or Rv3139 or Rv3140 or Rv3274c or Rv3504 or Rv3505 or Rv3543c or Rv3544c or Rv3560c or Rv3562 or Rv3563 or Rv3564 or Rv3573c or Rv3761c or Rv3797 or Rv0672 or Rv2500c) and (Rv0222 or Rv0456c or Rv0632c or Rv0673 or Rv0675 or Rv0971c or Rv1070c or Rv1071c or Rv1141c or Rv1142c or Rv1472 or Rv1935c or Rv2486 or Rv2679 or Rv2831 or Rv3039c or Rv3516 or Rv3550 or Rv3774 or Rv0905 or Rv3374 or Rv3373) and (Rv0468 or Rv1715 or Rv1912c or Rv3141) and (Rv0243 or Rv1074c or Rv3546 or Rv3556c or Rv1323 or Rv0859))
438,FAD_5,R_FAD_5,Fatty Acid Metabolism,coa[c] + eiscoa[c] + fad[c] + nad[c] --> accoa[c] + fadh2[c] + nadh[c] + octdcoa[c],((Rv0131c or Rv0154c or Rv0215c or Rv0231 or Rv0244c or Rv0271c or Rv0400c or Rv0752c or Rv0873 or Rv0972c or Rv0975c or Rv1346 or Rv1467c or Rv1679 or Rv1933c or Rv1934c or Rv2724c or Rv2789c or Rv3061c or Rv3139 or Rv3140 or Rv3274c or Rv3504 or Rv3505 or Rv3543c or Rv3544c or Rv3560c or Rv3562 or Rv3563 or Rv3564 or Rv3573c or Rv3761c or Rv3797 or Rv0672 or Rv2500c) and (Rv0222 or Rv0456c or Rv0632c or Rv0673 or Rv0675 or Rv0971c or Rv1070c or Rv1071c or Rv1141c or Rv1142c or Rv1472 or Rv1935c or Rv2486 or Rv2679 or Rv2831 or Rv3039c or Rv3516 or Rv3550 or Rv3774 or Rv0905 or Rv3374 or Rv3373) and (Rv0468 or Rv1715 or Rv1912c or Rv3141) and (Rv0243 or Rv1074c or Rv3546 or Rv3556c or Rv1323 or Rv0859))
439,FAD_6,R_FAD_6,Fatty Acid Metabolism,coa[c] + fad[c] + nad[c] + octdcoa[c] --> accoa[c] + fadh2[c] + hexdcoa[c] + nadh[c],((Rv0131c or Rv0154c or Rv0215c or Rv0231 or Rv0244c or Rv0271c or Rv0400c or Rv0752c or Rv0873 or Rv0972c or Rv0975c or Rv1346 or Rv1467c or Rv1679 or Rv1933c or Rv1934c or Rv2724c or Rv2789c or Rv3061c or Rv3139 or Rv3140 or Rv3274c or Rv3504 or Rv3505 or Rv3543c or Rv3544c or Rv3560c or Rv3562 or Rv3563 or Rv3564 or Rv3573c or Rv3761c or Rv3797 or Rv0672 or Rv2500c) and (Rv0222 or Rv0456c or Rv0632c or Rv0673 or Rv0675 or Rv0971c or Rv1070c or Rv1071c or Rv1141c or Rv1142c or Rv1472 or Rv1935c or Rv2486 or Rv2679 or Rv2831 or Rv3039c or Rv3516 or Rv3550 or Rv3774 or Rv0905 or Rv3374 or Rv3373) and (Rv0468 or Rv1715 or Rv1912c or Rv3141) and (Rv0243 or Rv1074c or Rv3546 or Rv3556c or Rv1323 or Rv0859))
440,FAD_7,R_FAD_7,Fatty Acid Metabolism,coa[c] + fad[c] + hexdcoa[c] + nad[c] --> accoa[c] + fadh2[c] + nadh[c] + tdcoa[c],((Rv0131c or Rv0154c or Rv0215c or Rv0231 or Rv0244c or Rv0271c or Rv0400c or Rv0752c or Rv0873 or Rv0972c or Rv0975c or Rv1346 or Rv1467c or Rv1679 or Rv1933c or Rv1934c or Rv2724c or Rv2789c or Rv3061c or Rv3139 or Rv3140 or Rv3274c or Rv3504 or Rv3505 or Rv3543c or Rv3544c or Rv3560c or Rv3562 or Rv3563 or Rv3564 or Rv3573c or Rv3761c or Rv3797 or Rv0672 or Rv2500c) and (Rv0222 or Rv0456c or Rv0632c or Rv0673 or Rv0675 or Rv0971c or Rv1070c or Rv1071c or Rv1141c or Rv1142c or Rv1472 or Rv1935c or Rv2486 or Rv2679 or Rv2831 or Rv3039c or Rv3516 or Rv3550 or Rv3774 or Rv0905 or Rv3374 or Rv3373) and (Rv0468 or Rv1715 or Rv1912c or Rv3141) and (Rv0243 or Rv1074c or Rv3546 or Rv3556c or Rv1323 or Rv0859))
